city,day,hour,area,demand_kl,leakage_pct,pressure_psi,temperature_c,is_weekend,is_anomaly
Pune,0,3,Shivajinagar,12.52,18.87,46.52,28.71,0,0
Pune,0,3,Aundh,19.87,33.39,59.31,32.11,0,0
Pune,0,3,Yerwada,11.57,48.46,53.82,33.13,0,0
Pune,0,3,Swargate,20.2,9.83,56.32,34.87,0,0
Pune,0,4,Pimpri,31.17,60.21,65.06,31.9,0,0
Pune,0,4,Hadapsar,25.44,42.61,46.74,25.48,0,0
Pune,0,4,Wanowrie,22.45,39.03,57.75,37.59,0,0
Pune,0,4,Kothrud,14.62,18.07,58.15,29.04,0,0
Pune,0,4,Shivajinagar,16.25,18.63,50.15,40.88,0,0
Pune,0,4,Aundh,17.45,34.44,52.29,29.45,0,0
Pune,0,4,Yerwada,17.11,49.79,55.31,29.71,0,0
Pune,0,4,Swargate,13.19,13.94,59.32,28.63,0,0
Pune,0,5,Pimpri,30.86,58.89,53.21,31.54,0,0
Pune,0,5,Hadapsar,23.42,42.98,59.4,30.21,0,0
Pune,0,5,Wanowrie,22.93,40.63,42.36,26.25,0,0
Pune,0,5,Kothrud,21.32,20.64,52.17,33.49,0,0
Pune,0,5,Shivajinagar,18.48,17.84,58.68,32.61,0,0
Pune,0,5,Aundh,45.04,28.25,53.16,26.58,0,1
Pune,0,5,Yerwada,35.07,48.89,49.1,30.32,0,1
Pune,0,5,Swargate,11.43,11.16,62.92,30.51,0,0
Pune,0,6,Pimpri,47.08,62.54,52.32,27.39,0,0
Pune,0,6,Hadapsar,42.95,47.07,52.11,31.77,0,0
Pune,0,6,Wanowrie,97.65,40.13,46.45,29.54,0,1
Pune,0,6,Kothrud,35.52,22.16,43.6,28.66,0,0
Pune,0,6,Shivajinagar,28.27,10.97,58.62,35.07,0,0
Pune,0,6,Aundh,43.99,34.58,41.36,28.06,0,0
Pune,0,6,Yerwada,29.05,52.68,51.86,26.27,0,0
Pune,0,6,Swargate,23.99,8.88,63.43,24.28,0,0
Pune,0,7,Pimpri,62.43,60.84,52.41,39.39,0,0
Pune,0,7,Hadapsar,124.59,46.16,53.39,27.6,0,1
Pune,0,7,Wanowrie,39.48,39.66,63.1,25.05,0,0
Pune,0,7,Kothrud,44.92,20.18,55.08,29.57,0,0
Pune,0,7,Shivajinagar,35.11,13.44,50.54,28.03,0,0
Pune,0,7,Aundh,42.2,31.11,58.66,35.81,0,0
Pune,0,7,Yerwada,41.02,49.57,46.2,27.76,0,0
Pune,0,7,Swargate,24.32,8.95,47.32,34.65,0,0
Pune,0,8,Pimpri,74.13,64.75,57.78,33.25,0,0
Pune,0,8,Hadapsar,56.3,47.33,48.34,33.8,0,0
Pune,0,8,Wanowrie,47.8,37.67,52.68,32.38,0,0
Pune,0,8,Kothrud,43.08,18.88,60.43,25.21,0,0
Pune,0,8,Shivajinagar,43.0,16.57,51.91,26.41,0,0
Pune,0,8,Aundh,44.89,36.43,49.84,33.22,0,0
Pune,0,8,Yerwada,46.65,46.59,46.24,30.97,0,0
Pune,0,8,Swargate,35.77,12.51,55.91,33.49,0,0
Pune,0,9,Pimpri,79.56,58.48,46.97,29.15,0,0
Pune,0,9,Hadapsar,55.87,48.93,49.88,29.98,0,0
Pune,0,9,Wanowrie,54.21,35.93,55.64,36.13,0,0
Pune,0,9,Kothrud,51.41,17.89,49.6,31.83,0,0
Pune,0,9,Shivajinagar,46.99,15.03,52.68,26.91,0,0
Pune,0,9,Aundh,69.71,33.02,48.98,37.44,0,0
Pune,0,9,Yerwada,54.7,48.46,67.33,26.77,0,0
Pune,0,9,Swargate,42.05,8.61,59.23,22.76,0,0
Pune,0,10,Pimpri,94.67,66.69,58.65,27.69,0,0
Pune,0,10,Hadapsar,72.94,48.69,56.9,29.47,0,0
Pune,0,10,Wanowrie,62.56,36.83,40.01,35.42,0,0
Pune,0,10,Kothrud,63.61,20.7,34.83,26.39,0,0
Pune,0,10,Shivajinagar,50.4,15.12,48.85,32.49,0,0
Pune,0,10,Aundh,60.77,33.34,59.42,36.17,0,0
Pune,0,10,Yerwada,57.31,46.13,62.86,30.46,0,0
Pune,0,10,Swargate,47.33,14.88,59.19,30.66,0,0
Pune,0,11,Pimpri,100.88,65.42,45.25,32.74,0,0
Pune,0,11,Hadapsar,66.8,48.61,58.2,29.45,0,0
Pune,0,11,Wanowrie,66.95,38.19,63.4,24.48,0,0
Pune,0,11,Kothrud,65.8,21.99,50.03,23.34,0,0
Pune,0,11,Shivajinagar,44.81,14.78,42.87,32.68,0,0
Pune,0,11,Aundh,65.39,33.22,57.23,28.84,0,0
Pune,0,11,Yerwada,55.03,49.26,48.29,26.83,0,0
Pune,0,11,Swargate,43.41,11.52,52.4,20.87,0,0
Pune,0,12,Pimpri,97.2,62.53,51.21,29.12,0,0
Pune,0,12,Hadapsar,72.05,46.45,48.17,25.09,0,0
Pune,0,12,Wanowrie,133.06,41.42,63.51,29.0,0,1
Pune,0,12,Kothrud,69.31,20.78,73.55,34.48,0,0
Pune,0,12,Shivajinagar,60.1,8.86,46.33,26.38,0,0
Pune,0,12,Aundh,68.41,29.3,63.81,33.53,0,0
Pune,0,12,Yerwada,56.5,47.99,68.62,34.06,0,0
Pune,0,12,Swargate,45.85,11.52,45.87,24.47,0,0
Pune,0,13,Pimpri,90.64,64.35,52.19,30.51,0,0
Pune,0,13,Hadapsar,71.12,43.78,47.85,26.54,0,0
Pune,0,13,Wanowrie,50.93,39.71,54.73,29.66,0,0
Pune,0,13,Kothrud,63.55,21.89,55.51,26.09,0,0
Pune,0,13,Shivajinagar,61.25,19.05,58.53,26.95,0,0
Pune,0,13,Aundh,66.74,27.49,40.61,30.19,0,0
Pune,0,13,Yerwada,52.88,49.99,44.03,31.07,0,0
Pune,0,13,Swargate,46.54,12.12,45.98,28.46,0,0
Pune,0,14,Pimpri,90.89,63.9,59.74,33.09,0,0
Pune,0,14,Hadapsar,60.09,43.01,56.04,29.19,0,0
Pune,0,14,Wanowrie,58.53,38.22,55.42,36.32,0,0
Pune,0,14,Kothrud,63.86,18.97,48.59,28.27,0,0
Pune,0,14,Shivajinagar,52.56,17.59,36.54,31.44,0,0
Pune,0,14,Aundh,71.05,30.98,37.73,25.97,0,0
Pune,0,14,Yerwada,60.19,45.89,40.94,30.06,0,0
Pune,0,14,Swargate,49.97,6.47,53.65,33.08,0,0
Pune,0,15,Pimpri,86.02,63.42,45.88,28.4,0,0
Pune,0,15,Hadapsar,66.55,50.68,53.27,30.99,0,0
Pune,0,15,Wanowrie,48.55,35.96,62.57,31.61,0,0
Pune,0,15,Kothrud,61.34,18.72,50.11,26.08,0,0
Pune,0,15,Shivajinagar,44.38,13.62,58.75,33.89,0,0
Pune,0,15,Aundh,62.26,36.69,46.58,25.02,0,0
Pune,0,15,Yerwada,51.9,50.09,45.76,20.7,0,0
Pune,0,15,Swargate,144.89,9.19,69.12,30.52,0,1
Pune,0,16,Pimpri,75.44,63.81,55.37,30.9,0,0
Pune,0,16,Hadapsar,57.25,42.15,42.61,37.55,0,0
Pune,0,16,Wanowrie,42.54,37.69,52.39,34.38,0,0
Pune,0,16,Kothrud,119.76,19.67,59.5,27.67,0,1
Pune,0,16,Shivajinagar,43.91,9.2,50.39,32.51,0,0
Pune,0,16,Aundh,51.91,36.17,50.18,23.99,0,0
Pune,0,16,Yerwada,44.97,44.7,57.63,29.37,0,0
Pune,0,16,Swargate,44.9,14.82,50.12,25.57,0,0
Pune,0,17,Pimpri,62.94,62.4,47.26,30.6,0,0
Pune,0,17,Hadapsar,129.98,44.64,47.98,27.81,0,1
Pune,0,17,Wanowrie,36.17,38.27,50.22,36.02,0,0
Pune,0,17,Kothrud,33.86,16.9,43.76,30.81,0,0
Pune,0,17,Shivajinagar,63.36,13.06,44.23,37.01,0,1
Pune,0,17,Aundh,104.42,35.18,57.05,25.48,0,1
Pune,0,17,Yerwada,35.67,49.22,43.45,32.85,0,0
Pune,0,17,Swargate,34.73,9.65,53.64,31.01,0,0
Pune,0,18,Pimpri,97.21,63.54,56.15,28.76,0,1
Pune,0,18,Hadapsar,38.8,41.87,58.47,29.26,0,0
Pune,0,18,Wanowrie,26.03,35.96,61.21,22.99,0,0
Pune,0,18,Kothrud,28.38,24.39,37.43,36.79,0,0
Pune,0,18,Shivajinagar,74.22,14.92,49.65,35.38,0,1
Pune,0,18,Aundh,44.12,33.68,47.64,28.33,0,0
Pune,0,18,Yerwada,101.39,48.87,48.22,26.89,0,1
Pune,0,18,Swargate,25.78,9.55,54.86,23.19,0,0
Pune,0,19,Pimpri,35.18,63.32,63.34,36.28,0,0
Pune,0,19,Hadapsar,20.43,41.8,47.63,30.1,0,0
Pune,0,19,Wanowrie,21.58,38.5,41.96,32.32,0,0
Pune,0,19,Kothrud,21.14,16.62,45.17,34.21,0,0
Pune,0,19,Shivajinagar,28.34,14.24,52.67,30.72,0,0
Pune,0,19,Aundh,24.01,32.31,69.92,29.62,0,0
Pune,0,19,Yerwada,20.83,48.61,53.26,28.66,0,0
Pune,0,19,Swargate,16.02,16.53,56.95,27.75,0,0
Pune,0,20,Pimpri,20.65,64.32,39.66,34.58,0,0
Pune,0,20,Hadapsar,18.45,46.55,53.24,24.66,0,0
Pune,0,20,Wanowrie,18.77,39.55,61.0,34.25,0,0
Pune,0,20,Kothrud,16.47,15.85,55.01,30.83,0,0
Pune,0,20,Shivajinagar,16.77,15.33,55.13,29.15,0,0
Pune,0,20,Aundh,17.59,33.7,52.2,30.12,0,0
Pune,0,20,Yerwada,9.38,49.25,44.7,35.11,0,0
Pune,0,20,Swargate,11.75,10.9,62.13,30.79,0,0
Pune,0,21,Pimpri,59.88,62.71,42.55,32.34,0,1
Pune,0,21,Hadapsar,13.84,45.12,60.56,27.27,0,0
Pune,0,21,Wanowrie,18.28,37.09,48.88,35.81,0,0
Pune,0,21,Kothrud,6.32,21.98,49.9,26.78,0,0
Pune,0,21,Shivajinagar,3.89,13.08,51.76,30.94,0,0
Pune,0,21,Aundh,6.12,33.71,50.84,26.7,0,0
Pune,0,21,Yerwada,8.59,49.69,44.14,31.53,0,0
Pune,0,21,Swargate,11.99,16.05,41.01,30.3,0,0
Pune,0,22,Pimpri,4.21,60.61,47.54,34.76,0,0
Pune,0,22,Hadapsar,3.53,42.07,57.57,34.19,0,0
Pune,0,22,Wanowrie,3.0,39.58,53.42,23.94,0,0
Pune,0,22,Kothrud,3.0,20.41,49.46,32.34,0,0
Pune,0,22,Shivajinagar,4.76,15.84,56.61,38.04,0,0
Pune,0,22,Aundh,3.0,28.86,58.19,26.2,0,0
Pune,0,22,Yerwada,3.0,48.56,51.89,34.75,0,0
Pune,0,22,Swargate,8.17,12.86,61.27,25.47,0,0
Pune,0,23,Pimpri,32.34,61.1,56.13,34.43,0,0
Pune,0,23,Hadapsar,24.12,46.79,55.52,33.43,0,0
Pune,0,23,Wanowrie,24.13,39.62,50.83,30.59,0,0
Pune,0,23,Kothrud,17.34,21.24,54.93,31.6,0,0
Pune,0,23,Shivajinagar,16.96,15.12,42.48,32.99,0,0
Pune,0,23,Aundh,27.28,32.53,53.87,28.39,0,0
Pune,0,23,Yerwada,17.62,48.7,56.26,30.75,0,0
Pune,0,23,Swargate,15.7,13.02,50.7,28.38,0,0
Pune,1,0,Pimpri,100.98,60.25,60.37,23.91,0,1
Pune,1,0,Hadapsar,20.26,45.94,62.96,29.74,0,0
Pune,1,0,Wanowrie,11.8,36.98,43.39,29.29,0,0
Pune,1,0,Kothrud,16.02,21.77,53.71,27.74,0,0
Pune,1,0,Shivajinagar,15.31,12.13,51.2,32.53,0,0
Pune,1,0,Aundh,15.2,30.27,51.68,30.97,0,0
Pune,1,0,Yerwada,15.16,46.33,52.52,29.08,0,0
Pune,1,0,Swargate,14.67,14.79,54.4,31.83,0,0
Pune,1,1,Pimpri,107.66,63.52,45.39,31.29,0,1
Pune,1,1,Hadapsar,27.5,46.23,44.78,29.8,0,0
Pune,1,1,Wanowrie,15.89,42.5,51.72,24.28,0,0
Pune,1,1,Kothrud,13.73,21.41,47.56,33.98,0,0
Pune,1,1,Shivajinagar,14.39,8.94,40.91,33.04,0,0
Pune,1,1,Aundh,22.79,33.2,51.83,27.72,0,0
Pune,1,1,Yerwada,17.99,45.1,62.52,33.51,0,0
Pune,1,1,Swargate,11.49,12.09,50.12,29.66,0,0
Pune,1,2,Pimpri,25.99,61.3,64.58,32.56,0,0
Pune,1,2,Hadapsar,20.53,43.89,53.93,26.81,0,0
Pune,1,2,Wanowrie,18.84,36.38,56.89,31.57,0,0
Pune,1,2,Kothrud,17.78,22.72,52.8,33.8,0,0
Pune,1,2,Shivajinagar,24.5,13.28,64.15,30.79,0,0
Pune,1,2,Aundh,17.17,30.68,56.33,34.52,0,0
Pune,1,2,Yerwada,24.91,49.09,52.27,30.48,0,0
Pune,1,2,Swargate,12.99,12.53,59.64,29.56,0,0
Pune,1,3,Pimpri,28.07,65.93,43.42,24.14,0,0
Pune,1,3,Hadapsar,16.25,50.0,51.26,37.12,0,0
Pune,1,3,Wanowrie,17.91,40.21,56.57,23.69,0,0
Pune,1,3,Kothrud,22.23,16.87,61.64,33.11,0,0
Pune,1,3,Shivajinagar,18.18,15.65,48.15,27.31,0,0
Pune,1,3,Aundh,22.6,31.27,40.45,29.8,0,0
Pune,1,3,Yerwada,21.09,40.88,60.04,23.04,0,0
Pune,1,3,Swargate,16.5,11.78,57.65,25.02,0,0
Pune,1,4,Pimpri,28.13,62.87,51.67,31.91,0,0
Pune,1,4,Hadapsar,14.12,45.64,50.19,34.93,0,0
Pune,1,4,Wanowrie,76.38,40.13,49.56,28.6,0,1
Pune,1,4,Kothrud,18.81,25.19,54.67,31.72,0,0
Pune,1,4,Shivajinagar,14.99,15.95,49.71,27.8,0,0
Pune,1,4,Aundh,24.21,32.13,57.13,29.68,0,0
Pune,1,4,Yerwada,15.64,48.02,52.98,31.81,0,0
Pune,1,4,Swargate,18.99,5.0,66.62,29.44,0,0
Pune,1,5,Pimpri,26.25,63.61,53.94,27.4,0,0
Pune,1,5,Hadapsar,21.74,45.54,58.09,31.98,0,0
Pune,1,5,Wanowrie,18.48,43.01,58.74,31.23,0,0
Pune,1,5,Kothrud,24.52,22.97,56.47,25.43,0,0
Pune,1,5,Shivajinagar,13.11,15.74,59.04,28.99,0,0
Pune,1,5,Aundh,27.75,33.13,50.29,33.86,0,0
Pune,1,5,Yerwada,22.19,49.42,57.05,32.54,0,0
Pune,1,5,Swargate,14.4,12.31,50.79,30.06,0,0
Pune,1,6,Pimpri,44.89,57.89,45.8,36.21,0,0
Pune,1,6,Hadapsar,34.94,41.69,63.49,34.04,0,0
Pune,1,6,Wanowrie,22.0,36.29,52.41,34.5,0,0
Pune,1,6,Kothrud,27.94,15.89,59.16,39.76,0,0
Pune,1,6,Shivajinagar,29.72,16.44,50.23,31.57,0,0
Pune,1,6,Aundh,32.48,31.3,40.15,29.61,0,0
Pune,1,6,Yerwada,33.88,46.46,38.62,31.59,0,0
Pune,1,6,Swargate,21.04,14.35,45.12,29.1,0,0
Pune,1,7,Pimpri,59.06,63.38,64.93,30.89,0,0
Pune,1,7,Hadapsar,40.83,46.1,51.86,32.21,0,0
Pune,1,7,Wanowrie,36.71,38.16,55.3,30.56,0,0
Pune,1,7,Kothrud,42.37,20.1,47.09,27.35,0,0
Pune,1,7,Shivajinagar,38.59,14.25,50.07,33.01,0,0
Pune,1,7,Aundh,41.81,34.24,49.94,34.99,0,0
Pune,1,7,Yerwada,38.72,46.04,67.56,25.05,0,0
Pune,1,7,Swargate,100.76,13.03,50.7,29.48,0,1
Pune,1,8,Pimpri,78.86,67.53,48.1,24.52,0,0
Pune,1,8,Hadapsar,57.51,44.99,54.9,26.91,0,0
Pune,1,8,Wanowrie,53.21,36.62,55.98,36.51,0,0
Pune,1,8,Kothrud,45.85,18.22,47.89,29.21,0,0
Pune,1,8,Shivajinagar,41.44,11.11,54.32,33.33,0,0
Pune,1,8,Aundh,48.56,28.92,56.86,37.79,0,0
Pune,1,8,Yerwada,42.18,47.86,55.91,30.3,0,0
Pune,1,8,Swargate,33.54,13.57,45.6,30.33,0,0
Pune,1,9,Pimpri,82.41,65.09,59.64,32.44,0,0
Pune,1,9,Hadapsar,61.88,41.48,52.51,33.12,0,0
Pune,1,9,Wanowrie,62.2,38.98,53.34,28.76,0,0
Pune,1,9,Kothrud,59.2,21.46,44.51,26.44,0,0
Pune,1,9,Shivajinagar,38.75,16.27,44.28,21.39,0,0
Pune,1,9,Aundh,63.95,32.08,53.76,29.99,0,0
Pune,1,9,Yerwada,51.54,47.75,58.43,28.84,0,0
Pune,1,9,Swargate,44.95,13.5,48.45,29.05,0,0
Pune,1,10,Pimpri,95.45,59.75,52.2,29.96,0,0
Pune,1,10,Hadapsar,69.08,45.49,69.25,28.8,0,0
Pune,1,10,Wanowrie,57.89,34.72,44.54,28.78,0,0
Pune,1,10,Kothrud,64.54,20.13,39.38,27.41,0,0
Pune,1,10,Shivajinagar,46.63,14.64,43.53,32.4,0,0
Pune,1,10,Aundh,62.38,33.04,47.18,29.75,0,0
Pune,1,10,Yerwada,56.58,47.16,47.71,28.79,0,0
Pune,1,10,Swargate,46.71,10.18,41.26,33.65,0,0
Pune,1,11,Pimpri,88.08,64.34,42.43,29.1,0,0
Pune,1,11,Hadapsar,206.14,44.21,58.15,33.05,0,1
Pune,1,11,Wanowrie,59.38,37.96,58.04,26.81,0,0
Pune,1,11,Kothrud,59.94,20.46,51.89,32.32,0,0
Pune,1,11,Shivajinagar,45.24,20.15,43.65,29.84,0,0
Pune,1,11,Aundh,69.1,36.28,42.4,23.55,0,0
Pune,1,11,Yerwada,60.12,48.52,60.0,25.52,0,0
Pune,1,11,Swargate,51.86,10.78,67.1,27.58,0,0
Pune,1,12,Pimpri,101.11,64.0,47.52,30.67,0,0
Pune,1,12,Hadapsar,163.45,43.31,66.09,30.55,0,1
Pune,1,12,Wanowrie,60.54,38.46,42.57,26.11,0,0
Pune,1,12,Kothrud,69.72,22.89,48.84,28.26,0,0
Pune,1,12,Shivajinagar,58.74,16.8,58.97,26.97,0,0
Pune,1,12,Aundh,65.99,30.74,53.97,26.3,0,0
Pune,1,12,Yerwada,61.82,53.41,47.5,33.71,0,0
Pune,1,12,Swargate,55.82,16.5,57.22,32.37,0,0
Pune,1,13,Pimpri,96.84,59.9,44.69,22.13,0,0
Pune,1,13,Hadapsar,76.04,45.37,48.61,28.67,0,0
Pune,1,13,Wanowrie,62.17,40.04,58.02,27.67,0,0
Pune,1,13,Kothrud,69.21,17.97,60.5,29.44,0,0
Pune,1,13,Shivajinagar,55.73,17.93,53.27,24.81,0,0
Pune,1,13,Aundh,69.41,31.79,57.69,32.31,0,0
Pune,1,13,Yerwada,63.93,48.05,54.16,36.81,0,0
Pune,1,13,Swargate,41.55,12.2,64.68,32.49,0,0
Pune,1,14,Pimpri,233.35,63.68,51.03,25.1,0,1
Pune,1,14,Hadapsar,69.14,42.87,47.94,32.35,0,0
Pune,1,14,Wanowrie,60.73,41.62,48.4,25.56,0,0
Pune,1,14,Kothrud,61.98,20.04,46.51,32.59,0,0
Pune,1,14,Shivajinagar,44.58,12.23,48.82,26.72,0,0
Pune,1,14,Aundh,73.15,31.0,53.57,33.73,0,0
Pune,1,14,Yerwada,62.71,46.12,60.17,27.71,0,0
Pune,1,14,Swargate,44.44,18.4,48.05,30.74,0,0
Pune,1,15,Pimpri,92.8,66.72,63.42,33.83,0,0
Pune,1,15,Hadapsar,67.13,43.62,46.27,29.99,0,0
Pune,1,15,Wanowrie,57.38,36.38,58.63,32.73,0,0
Pune,1,15,Kothrud,52.62,19.52,46.98,22.53,0,0
Pune,1,15,Shivajinagar,48.01,11.59,53.33,32.31,0,0
Pune,1,15,Aundh,65.49,33.46,50.41,26.16,0,0
Pune,1,15,Yerwada,56.01,43.16,43.23,31.39,0,0
Pune,1,15,Swargate,43.24,7.58,54.26,29.41,0,0
Pune,1,16,Pimpri,79.13,61.51,49.42,31.61,0,0
Pune,1,16,Hadapsar,51.57,37.82,51.81,37.09,0,0
Pune,1,16,Wanowrie,50.1,39.95,54.48,25.61,0,0
Pune,1,16,Kothrud,53.31,23.07,51.3,29.19,0,0
Pune,1,16,Shivajinagar,41.92,14.45,46.12,26.31,0,0
Pune,1,16,Aundh,124.01,31.32,51.85,27.01,0,1
Pune,1,16,Yerwada,105.76,50.21,57.16,28.87,0,1
Pune,1,16,Swargate,37.77,13.29,41.06,27.88,0,0
Pune,1,17,Pimpri,58.5,63.42,42.67,39.66,0,0
Pune,1,17,Hadapsar,40.75,47.91,46.86,26.76,0,0
Pune,1,17,Wanowrie,43.09,44.66,49.93,30.61,0,0
Pune,1,17,Kothrud,38.86,20.22,44.5,18.31,0,0
Pune,1,17,Shivajinagar,32.19,20.03,64.39,25.86,0,0
Pune,1,17,Aundh,44.77,30.18,50.72,35.5,0,0
Pune,1,17,Yerwada,35.25,49.51,47.04,27.96,0,0
Pune,1,17,Swargate,31.96,16.06,54.26,28.99,0,0
Pune,1,18,Pimpri,48.56,63.28,54.22,29.87,0,0
Pune,1,18,Hadapsar,41.03,44.81,50.74,42.77,0,0
Pune,1,18,Wanowrie,35.15,39.26,61.17,27.73,0,0
Pune,1,18,Kothrud,33.95,16.4,58.43,27.33,0,0
Pune,1,18,Shivajinagar,31.75,16.34,57.36,29.23,0,0
Pune,1,18,Aundh,37.44,29.88,47.5,34.12,0,0
Pune,1,18,Yerwada,28.94,49.21,48.17,27.94,0,0
Pune,1,18,Swargate,21.18,13.06,66.44,25.73,0,0
Pune,1,19,Pimpri,37.83,62.6,55.65,30.02,0,0
Pune,1,19,Hadapsar,23.54,46.07,50.69,33.94,0,0
Pune,1,19,Wanowrie,23.11,37.33,64.55,30.9,0,0
Pune,1,19,Kothrud,25.61,19.12,54.37,28.82,0,0
Pune,1,19,Shivajinagar,27.24,15.88,49.87,22.18,0,0
Pune,1,19,Aundh,17.82,30.48,61.08,29.91,0,0
Pune,1,19,Yerwada,24.42,45.9,48.04,28.36,0,0
Pune,1,19,Swargate,24.99,11.19,60.52,36.09,0,0
Pune,1,20,Pimpri,24.59,65.06,52.27,30.54,0,0
Pune,1,20,Hadapsar,14.03,47.97,48.75,30.8,0,0
Pune,1,20,Wanowrie,13.89,39.31,48.44,33.11,0,0
Pune,1,20,Kothrud,42.38,24.85,45.0,27.29,0,1
Pune,1,20,Shivajinagar,15.56,15.45,54.45,31.96,0,0
Pune,1,20,Aundh,12.9,34.09,53.91,32.6,0,0
Pune,1,20,Yerwada,14.47,45.56,59.75,29.52,0,0
Pune,1,20,Swargate,42.02,11.84,50.69,26.23,0,1
Pune,1,21,Pimpri,13.76,63.05,48.95,33.0,0,0
Pune,1,21,Hadapsar,13.94,46.54,45.45,34.34,0,0
Pune,1,21,Wanowrie,11.72,37.03,54.38,27.42,0,0
Pune,1,21,Kothrud,8.92,19.13,51.86,28.79,0,0
Pune,1,21,Shivajinagar,10.06,16.95,59.35,26.54,0,1
Pune,1,21,Aundh,12.11,34.25,58.32,30.86,0,0
Pune,1,21,Yerwada,8.37,47.58,52.49,34.65,0,0
Pune,1,21,Swargate,8.71,14.91,53.86,32.57,0,0
Pune,1,22,Pimpri,7.46,64.5,33.08,32.71,0,0
Pune,1,22,Hadapsar,10.92,44.12,58.2,30.92,0,0
Pune,1,22,Wanowrie,10.6,41.29,63.48,32.97,0,0
Pune,1,22,Kothrud,3.0,20.08,50.2,20.39,0,0
Pune,1,22,Shivajinagar,4.11,16.38,52.31,36.78,0,0
Pune,1,22,Aundh,9.58,31.54,48.92,21.17,0,1
Pune,1,22,Yerwada,3.14,42.83,55.16,25.04,0,0
Pune,1,22,Swargate,3.68,8.36,49.84,26.99,0,0
Pune,1,23,Pimpri,31.92,68.83,54.64,29.28,0,0
Pune,1,23,Hadapsar,23.35,43.12,49.77,26.82,0,0
Pune,1,23,Wanowrie,18.53,40.69,49.21,27.39,0,0
Pune,1,23,Kothrud,12.89,16.04,53.87,32.03,0,0
Pune,1,23,Shivajinagar,19.88,13.64,53.01,27.54,0,0
Pune,1,23,Aundh,20.23,29.77,36.94,27.12,0,0
Pune,1,23,Yerwada,24.09,46.77,55.58,29.33,0,0
Pune,1,23,Swargate,10.64,15.53,51.31,30.08,0,0
Pune,2,0,Pimpri,30.83,63.9,54.67,32.55,0,0
Pune,2,0,Hadapsar,17.93,45.27,51.77,29.17,0,0
Pune,2,0,Wanowrie,29.31,36.79,38.28,32.93,0,0
Pune,2,0,Kothrud,23.98,21.07,47.48,37.1,0,0
Pune,2,0,Shivajinagar,12.42,12.26,50.14,35.73,0,0
Pune,2,0,Aundh,22.45,32.65,51.06,33.24,0,0
Pune,2,0,Yerwada,10.66,50.93,63.1,33.12,0,0
Pune,2,0,Swargate,10.64,10.97,44.26,29.14,0,0
Pune,2,1,Pimpri,26.14,60.92,52.35,29.35,0,0
Pune,2,1,Hadapsar,20.25,44.48,40.22,26.78,0,0
Pune,2,1,Wanowrie,12.08,41.18,65.24,28.15,0,0
Pune,2,1,Kothrud,18.2,19.96,55.82,30.03,0,0
Pune,2,1,Shivajinagar,11.81,14.1,39.37,28.58,0,0
Pune,2,1,Aundh,24.09,31.17,60.21,31.48,0,0
Pune,2,1,Yerwada,11.84,44.28,55.7,21.84,0,0
Pune,2,1,Swargate,21.93,17.58,56.47,32.0,0,0
Pune,2,2,Pimpri,25.75,59.82,43.17,26.54,0,0
Pune,2,2,Hadapsar,14.58,46.87,44.49,30.96,0,0
Pune,2,2,Wanowrie,17.78,43.84,54.04,33.6,0,0
Pune,2,2,Kothrud,15.18,21.24,48.74,29.58,0,0
Pune,2,2,Shivajinagar,10.1,15.6,53.86,37.08,0,0
